        1024,    132.90,    640.00,  4.82,    131.65,    667.58,  5.07,
[   1024.0 , 568521.8 , 524800.0 ]
      800924,    372.64,   1820.06,  4.88,    393.96,   1940.39,  4.93,
[ 800924.1 , 321621557248.0 , 320746192896.0 ]
     1600820,    380.40,   1537.13,  4.04,    391.82,   1823.54,  4.65,
[ 1600819.9 , 1284217241600.0 , 1281312292864.0 ]
     2400716,    377.35,   1105.00,  2.93,    388.84,   1558.78,  4.01,
[ 2400716.0 , 2886357221376.0 , 2881439662080.0 ]
     3200612,    375.98,    992.77,  2.64,    389.43,   1287.87,  3.31,
[ 3200611.8 , 5140793262080.0 , 5121514143744.0 ]
     4000508,    373.53,    967.27,  2.59,    388.03,   1277.71,  3.29,
[ 4000507.8 , 8007607910400.0 , 8001126662144.0 ]
     4800408,    371.30,    920.24,  2.48,    389.20,   1175.38,  3.02,
[ 4800408.5 , 11452974891008.0 , 11519672713216.0 ]
     5600304,    370.03,    860.04,  2.32,    388.80,   1198.71,  3.08,
[ 5600304.0 , 15646733631488.0 , 15678225514496.0 ]
     6400200,    370.81,    911.73,  2.46,    386.23,   1140.34,  2.95,
[ 6400199.5 , 20509309796352.0 , 20485347737600.0 ]
     7200096,    370.76,    895.30,  2.41,    389.08,   1176.21,  3.02,
[ 7200096.5 , 25541820284928.0 , 25920880508928.0 ]
     8000000,    368.21,    854.55,  2.32,    386.97,   1154.16,  2.98,
[ 8000000.5 , 31969792491520.0 , 32000775815168.0 ]
